F3,F4,Fz,Cz,P3,P4,O1,O2,timestamp
-92806.64,-103853.8,-40812.31,-126177.6,-40840.06,-53821.81,-70096.6,-68121.87,30893
-92831.86,-103897.4,-40839.2,-126196.1,-40875.73,-53836.16,-70101.42,-68121.59,30897
-92869.63,-103966.6,-40923.7,-126176.8,-40989.93,-53814.71,-70137.32,-68145.95,30901
-92864.96,-103950.7,-40927.42,-126173.9,-40974.62,-53819.86,-70165.84,-68178.19,30905
-92840.3,-103875.8,-40847.74,-126201.3,-40870.15,-53840.07,-70131.98,-68160.12,30909
-92848.12,-103875.7,-40835.48,-126206.1,-40870.53,-53840.84,-70105.52,-68128.02,30913
-92876.88,-103952.4,-40915.78,-126186.3,-40980.49,-53818.09,-70136.65,-68140.95,30917
-92874.35,-103953.2,-40936.81,-126170.4,-40990.84,-53801.97,-70157.78,-68158.02,30921
-92852.61,-103879.4,-40865.24,-126190.5,-40885.79,-53821.05,-70133.79,-68147.96,30925
-92841.97,-103867,-40828.43,-126196.5,-40856.18,-53824.81,-70103.23,-68118.06,30929
-92863.77,-103936.7,-40897.42,-126173.5,-40955.55,-53806.84,-70119.44,-68129.74,30933
-92880.79,-103966.6,-40948.3,-126164.3,-41006.95,-53804.84,-70165.26,-68183.29,30937
-92856.85,-103903.5,-40888.51,-126182.7,-40907.01,-53828.58,-70155.25,-68188.73,30941
-92846.69,-103870.5,-40835.2,-126197.5,-40854.94,-53835.5,-70108.85,-68140.57,30945
-92852.8,-103915.3,-40875.54,-126163.2,-40921.27,-53799.3,-70093.93,-68115.25,30949
-92879.98,-103953.5,-40935.67,-126142.7,-40995.32,-53781.61,-70143.28,-68144.62,30953
-92853.37,-103890,-40881.07,-126152.5,-40905.29,-53791.96,-70122.4,-68140.28,30957
-92834.34,-103837.3,-40811.88,-126173.1,-40831.14,-53804.84,-70078.67,-68107.23,30961
-92862.86,-103897.3,-40855.32,-126164.9,-40896.99,-53799.73,-70078.57,-68096.27,30965
-92880.5,-103950.7,-40921.79,-126136.4,-40980.68,-53777.75,-70109.66,-68125.93,30969
-92855.42,-103895.3,-40882.45,-126143.2,-40912.49,-53785.71,-70105.71,-68142.85,30973
-92830.24,-103828.8,-40800.67,-126166.5,-40822.89,-53803.17,-70070.04,-68113.29,30977
-92848.46,-103870.9,-40829.76,-126172,-40869.72,-53807.55,-70070.23,-68103.42,30981
-92879.83,-103943,-40912.11,-126151.4,-40964.85,-53787.43,-70102.66,-68120.44,30985
-92871.06,-103921,-40900.24,-126153.8,-40920.22,-53791.63,-70102.04,-68132.36,30989
-92837.54,-103839.3,-40810.97,-126164.4,-40814.74,-53797.78,-70052.01,-68103.37,30993
-92859.66,-103876.4,-40825.42,-126173.8,-40841.44,-53810.08,-70055.5,-68098.6,30997
-92889.85,-103951.1,-40905.1,-126150,-40949.4,-53786.62,-70095.84,-68114.48,31001
-92881.89,-103925.6,-40906.05,-126134,-40932.42,-53774.79,-70109.86,-68132.7,31005
-92849.84,-103839.4,-40822.75,-126151.6,-40828.09,-53790.39,-70074.9,-68113.62,31009
-92850.32,-103843.8,-40806.82,-126158.2,-40824.85,-53794.73,-70055.59,-68091.26,31013
-92879.5,-103918.3,-40884.12,-126137.8,-40932.61,-53769.84,-70074.38,-68094.36,31017
-92871.3,-103902.4,-40894.9,-126109.5,-40940.96,-53739.46,-70079.91,-68094.69,31021
-92847.08,-103843.1,-40829.47,-126139,-40845.78,-53770.41,-70065.46,-68097.89,31025
-92846.03,-103836.5,-40798.72,-126160.3,-40820.89,-53788.62,-70042.48,-68077.81,31029
-92874.4,-103908.7,-40869.58,-126144.5,-40910.49,-53776.37,-70061.79,-68087.87,31033
-92881.41,-103929.7,-40913.06,-126124.6,-40963.94,-53757.49,-70096.31,-68118.92,31037
-92857.09,-103861.9,-40852.55,-126143.1,-40869.24,-53775.27,-70078.81,-68121.06,31041
-92850.89,-103820.6,-40795.05,-126161.8,-40822.13,-53789.43,-70045.05,-68091.74,31045
-92881.89,-103888.5,-40852.74,-126149.3,-40898.66,-53777.66,-70044.24,-68085.35,31049
-92892.66,-103930.9,-40911.39,-126127.6,-40967.18,-53758.06,-70068.56,-68108.09,31053
-92867.63,-103876.1,-40866.57,-126141.9,-40885.69,-53774.94,-70063.89,-68120.11,31057
-92850.8,-103826.8,-40801.25,-126167.9,-40819.84,-53796.87,-70045.53,-68109.43,31061
-92871.49,-103888.2,-40846.88,-126162.7,-40882.78,-53794.68,-70045.34,-68094.84,31065
-92891.09,-103941.2,-40916.21,-126128.8,-40969.81,-53764.97,-70071.85,-68102.9,31069
-92868.68,-103884.7,-40879.45,-126128.3,-40900.19,-53762.73,-70069.13,-68117.34,31073
-92850.65,-103814.2,-40801.63,-126152.3,-40805.44,-53780.85,-70030.08,-68100.56,31077
-92854.85,-103840.6,-40812.07,-126137.5,-40837.96,-53764.64,-69998.61,-68066.94,31081
-92893.47,-103919,-40902.24,-126122.4,-40952.5,-53748.76,-70036.28,-68091.98,31085
-92885.22,-103890.2,-40897.57,-126124.1,-40923.36,-53751.43,-70056.45,-68115.77,31089
-92859.9,-103815.5,-40816.89,-126147,-40821.22,-53768.17,-70022.12,-68094.5,31093
-92871.2,-103842.8,-40818.75,-126151.9,-40838.06,-53773.13,-70006.57,-68074.57,31097
-92896.24,-103914.8,-40899.24,-126127.4,-40946.92,-53749.95,-70036.66,-68090.59,31101
-92885.84,-103898.5,-40903.29,-126110,-40939.77,-53733.83,-70044.91,-68100.75,31105
-92855.56,-103820.7,-40825.42,-126130.3,-40831.43,-53753.1,-70015.49,-68082.82,31109
-92861.48,-103827.3,-40808.73,-126143.7,-40823.51,-53764.59,-70003.57,-68065.13,31113
-92895.09,-103909.7,-40886.6,-126125.1,-40932.52,-53746.85,-70027.7,-68075.48,31117
-92896.14,-103914,-40912.11,-126107.4,-40955.03,-53731.12,-70049.3,-68090.21,31121
-92873.02,-103839.7,-40843.4,-126127.7,-40854.46,-53751.05,-70024.55,-68080.05,31125
-92861.29,-103813.5,-40793.38,-126135.9,-40815.22,-53755.82,-69995.08,-68053.83,31129
-92891.85,-103893.1,-40865.33,-126125.7,-40908.77,-53750.95,-70018.49,-68067.66,31133
-92903.82,-103926.9,-40915.11,-126110.2,-40964.71,-53737.98,-70052.01,-68094.98,31137
-92868.2,-103854.2,-40846.88,-126119.2,-40862.85,-53748.04,-70026.03,-68090.97,31141
-92846.07,-103806.8,-40776.31,-126129.2,-40800.2,-53756.25,-69982.83,-68064.08,31145
-92874.45,-103870.6,-40827.09,-126118.6,-40880.4,-53741.32,-69992.7,-68051.02,31149
-92890.61,-103919.5,-40894.32,-126097.6,-40959.03,-53719.29,-70031.22,-68077.19,31153
-92868.2,-103862.3,-40853.79,-126108.6,-40873.44,-53727.68,-70019.21,-68086.63,31157
-92846.36,-103797.6,-40782.17,-126133.5,-40794.95,-53747.66,-69987.26,-68068.32,31161
-92878.26,-103851.2,-40826.76,-126137.4,-40856.32,-53759.39,-69986.45,-68074.76,31165
-92917.46,-103934,-40917.36,-126126.4,-40964.94,-53752.76,-70040.28,-68103.85,31169
-92892.95,-103889.5,-40886.93,-126120.4,-40907.1,-53745.09,-70048.06,-68115.58,31173
-92869.82,-103815.7,-40809.78,-126143.8,-40810.07,-53760.82,-70006.24,-68097.22,31177
-92886.8,-103849.7,-40834,-126151.4,-40855.46,-53767.69,-70010.48,-68090.26,31181
-92915.31,-103928.3,-40918.79,-126132.6,-40968.04,-53751.1,-70055.83,-68118.54,31185
-92908.83,-103915.6,-40916.78,-126133,-40941.58,-53756.58,-70067.23,-68136.13,31189
-92877.88,-103831.6,-40832.38,-126149.4,-40827.09,-53771.5,-70024.22,-68105.76,31193
-92889.85,-103843.8,-40832.81,-126160.1,-40840.16,-53783.04,-70009.58,-68091.5,31197
-92922.56,-103926.2,-40919.22,-126146.7,-40956.07,-53771.84,-70053.54,-68115.91,31201
-92919.7,-103919.4,-40936.95,-126136.4,-40969.33,-53761.82,-70076.95,-68135.61,31205
-92877.36,-103833.1,-40853.79,-126151.9,-40857.89,-53774.17,-70039.09,-68114.24,31209
-92891.04,-103847.5,-40841.54,-126181.2,-40850.5,-53804.45,-70032.85,-68111.14,31213
-92929.57,-103934.8,-40922.22,-126169.3,-40969.14,-53791.44,-70056.16,-68131.36,31217
-92929.66,-103951.8,-40954.98,-126144.9,-41004.24,-53770.12,-70088.97,-68161.74,31221
-92899.62,-103886,-40888.6,-126162.1,-40900.86,-53784.76,-70065.18,-68148.1,31225
-92892.76,-103844.6,-40835.91,-126170.8,-40852.27,-53782.57,-70024.84,-68108.33,31229
-92927.23,-103927.1,-40906.86,-126166.7,-40950.73,-53774.17,-70047.82,-68122.87,31233
-92950.41,-103976.3,-40973.53,-126157.4,-41025.31,-53768.21,-70095.74,-68158.54,31237
-92919.13,-103900.2,-40913.3,-126162.6,-40922.46,-53773.79,-70072.33,-68134.13,31241
-92917.08,-103857.6,-40858.32,-126187.2,-40860.61,-53792.63,-70038.47,-68107.95,31245
-92944.97,-103931.2,-40912.92,-126187.2,-40942.29,-53796.16,-70059.12,-68133.79,31249
-92972.67,-103991.5,-40988.5,-126175.5,-41037.14,-53787.53,-70110.19,-68173.56,31253
-92958.18,-103940.5,-40955.26,-126187.9,-40963.85,-53802.21,-70092.88,-68178.52,31257
-92936.96,-103879.2,-40879.54,-126211.2,-40882.4,-53815.09,-70056.31,-68150.15,31261
-92957.61,-103927.8,-40914.02,-126209.8,-40936.52,-53811.89,-70061.31,-68146.05,31265
-92997.66,-104003.8,-41002.33,-126194.7,-41049.01,-53799.97,-70114.81,-68183.29,31269
-92980.3,-103959.4,-40981.59,-126189.3,-40996.27,-53797.3,-70109.19,-68180.05,31273
-92948.79,-103891.1,-40898.28,-126212,-40892.37,-53815.56,-70069.23,-68162.07,31277
-92962.14,-103938.5,-40915.92,-126225.3,-40923.65,-53829.15,-70073,-68160.97,31281
-92996.66,-104018.7,-41000.47,-126206,-41031.89,-53813.75,-70104.13,-68183.72,31285
-92982.93,-103992.6,-40995.22,-126191.9,-41009.72,-53803.36,-70111.19,-68200.93,31289
-92956.61,-103917.1,-40917.5,-126214,-40902.86,-53817.42,-70073.42,-68177.19,31293
-92958.99,-103928.2,-40908.1,-126223.9,-40904,-53823.91,-70048.2,-68145.81,31297
-92996.42,-104009.2,-40995.13,-126213,-41021.4,-53815.18,-70080.01,-68165.12,31301
-92989.79,-104006,-41012.53,-126196.6,-41035.71,-53796.35,-70095.26,-68177.9,31305
-92960.66,-103931.2,-40938.62,-126216.8,-40928.89,-53807.93,-70063.7,-68167.41,31309
-92962.61,-103921.3,-40904.48,-126228.9,-40902.81,-53815.8,-70037.66,-68146.53,31313
-92992.99,-103995.6,-40974.72,-126208.8,-40999.56,-53797.97,-70056.97,-68148.67,31317
-92999.95,-104016,-41015.82,-126191.1,-41045.48,-53780.66,-70085.97,-68175.66,31321
-92963.28,-103938.2,-40948.83,-126203,-40940.86,-53793.92,-70061.07,-68165.79,31325
-92955.37,-103904.4,-40899.86,-126223.2,-40885.12,-53806.74,-70027.6,-68132.41,31329
-92990.7,-103973.6,-40963.18,-126212.6,-40972.19,-53794.54,-70044.39,-68130.65,31333
-93004.53,-104013.6,-41019.4,-126185.4,-41051.35,-53769.93,-70085.25,-68162.88,31337
-92968.57,-103949.7,-40964.28,-126193.3,-40962.65,-53779.09,-70070.18,-68167.03,31341
-92945.69,-103892.5,-40893.61,-126215.9,-40887.46,-53793.34,-70037.09,-68139.23,31345
-92973.87,-103957.4,-40942.77,-126216.6,-40957.03,-53795.87,-70050.06,-68137.47,31349
-92986.6,-104012.1,-41004.81,-126181.1,-41039.9,-53764.69,-70073.71,-68151.91,31353
-92959.9,-103953.1,-40966.18,-126179.6,-40963.75,-53765.21,-70067.32,-68157.64,31357
-92940.63,-103886.8,-40889.94,-126202.5,-40876.68,-53782.66,-70035.33,-68141.52,31361
-92960.23,-103938.2,-40919.41,-126203.8,-40924.6,-53784.76,-70028.65,-68135.18,31365
-92984.07,-104011.4,-40998.7,-126184.7,-41036.52,-53764.69,-70064.03,-68163.26,31369
-92964.38,-103979.4,-40980.82,-126178.6,-40999.42,-53761.2,-70065.22,-68169.75,31373
-92939.3,-103902.5,-40897.19,-126196.7,-40893.37,-53776.42,-70017.35,-68134.7,31377
-92964.62,-103934.2,-40911.63,-126207.3,-40920.84,-53786.95,-70005.38,-68121.49,31381
-93000.09,-104011.5,-40993.17,-126185.4,-41035.47,-53768.45,-70044.81,-68150.15,31385
-92994.9,-103995.2,-40999.28,-126179.5,-41034.94,-53759.15,-70070.71,-68173.94,31389
-92970.34,-103918.6,-40923.51,-126204.3,-40929.18,-53780.8,-70037.57,-68157.3,31393
-92973.01,-103914.7,-40904,-126214.2,-40923.51,-53785.86,-70012.68,-68132.51,31397
-93014.68,-104002.3,-40993.36,-126201.4,-41034.66,-53774.37,-70037.23,-68147,31401
-93018.12,-104021.4,-41030.27,-126195.7,-41063.89,-53769.79,-70065.84,-68174.18,31405
-92991.8,-103956,-40966.14,-126224.6,-40968,-53795.58,-70052.68,-68173.42,31409
-92990.51,-103936.1,-40932.33,-126239.6,-40937.48,-53808.65,-70035.85,-68149.67,31413
-93019.45,-104015.4,-41005.19,-126224.8,-41034.8,-53797.44,-70056.64,-68158.92,31417
-93029.13,-104049,-41054.78,-126207.1,-41092.02,-53778.75,-70083.82,-68184.01,31421
-92999.47,-103972,-40992.98,-126218.9,-40992.36,-53790.29,-70058.74,-68172.99,31425
-92976.3,-103927.4,-40927.08,-126229.4,-40930.52,-53795.25,-70016.68,-68132.08,31429
-93003.19,-103998.9,-40980.77,-126220.8,-41007.76,-53786.14,-70018.16,-68124.07,31433
-93020.88,-104043.4,-41044.15,-126203.4,-41084.63,-53771.08,-70068.8,-68158.35,31437
-93001.52,-103983.3,-41004.38,-126220.8,-41009.24,-53787.34,-70067.37,-68167.03,31441
-92973.06,-103910.7,-40921.22,-126228.3,-40932.61,-53790.96,-70018.45,-68130.22,31445
-93002.91,-103973.9,-40966.61,-126226.1,-40992.55,-53791.01,-70023.5,-68139.66,31449
-93037.48,-104047.3,-41047.77,-126209.1,-41094.26,-53772.08,-70064.08,-68169.89,31453
-93016.16,-104001.7,-41017.54,-126210.8,-41033.37,-53774.94,-70061.41,-68168.98,31457
-92997.76,-103944.5,-40945.87,-126235.9,-40943.34,-53794.11,-70029.13,-68148.05,31461
-93024.22,-103988,-40972.67,-126241.2,-40988.79,-53799.35,-70026.65,-68138.37,31465
-93046.25,-104049.9,-41047.58,-126218.6,-41099.17,-53779.42,-70059.26,-68155.78,31469
-93022.36,-104009.4,-41027.27,-126210.1,-41070.04,-53773.22,-70068.32,-68178,31473
-92995.47,-103930.7,-40942.63,-126227.5,-40965.47,-53789.34,-70028.75,-68155.78,31477
-93004.81,-103943.2,-40940.29,-126235,-40981.25,-53794.96,-70012.49,-68136.18,31481
-93032.04,-104009.6,-41016.01,-126214,-41083.58,-53771.46,-70042.81,-68150.1,31485
-93019.07,-103997.9,-41022.59,-126195,-41076.05,-53754.15,-70053.73,-68164.98,31489
-92981.93,-103925.3,-40942.48,-126211,-40956.36,-53764.59,-70014.77,-68134.27,31493
-92982.64,-103927.6,-40925.6,-126226.1,-40942.06,-53774.94,-69992.84,-68113.67,31497
-93016.11,-104009.5,-41005.67,-126213.4,-41055.5,-53764.3,-70026.69,-68137.08,31501
-93019.5,-104017.5,-41035.71,-126195.5,-41086.16,-53743.8,-70052.25,-68158.02,31505
-92997.8,-103945,-40971.29,-126213.9,-40983.4,-53762.16,-70031.94,-68156.54,31509
-92985.36,-103921.2,-40919.98,-126226.4,-40947.49,-53769.69,-69999.04,-68124.11,31513
-93009.39,-104000.8,-40986.12,-126211.1,-41036.28,-53758.58,-70009.34,-68129.17,31517
-93013.68,-104023.4,-41030.56,-126181.1,-41083.06,-53729.16,-70037.71,-68143.71,31521
-92986.84,-103958.6,-40975.82,-126191.8,-40989.93,-53738.22,-70017.06,-68136.27,31525
-92976.78,-103915.8,-40918.64,-126214.7,-40927.51,-53754.77,-69982.64,-68105.57,31529
-92997.99,-103969.1,-40966.85,-126200.9,-40998.18,-53738.51,-69987.12,-68100.46,31533
-93021.03,-104024.7,-41036.14,-126180.7,-41081.72,-53719.2,-70040.9,-68144.86,31537
-92999.76,-103973.2,-40997.13,-126190.3,-41011.15,-53730.21,-70039.81,-68156.83,31541
-92982.78,-103918.3,-40929.9,-126217.7,-40939.43,-53752.76,-70002.04,-68127.02,31545
-93006.58,-103972.5,-40969.09,-126222.8,-40996.18,-53759.39,-70001.18,-68122.68,31549
-93033.81,-104044.8,-41051.97,-126207.8,-41101.46,-53744.04,-70041.38,-68155.63,31553
-93001.43,-104005.4,-41027.46,-126205.4,-41045.48,-53742.04,-70051.01,-68167.17,31557
-92969.53,-103930,-40944.82,-126219.6,-40940.48,-53752.34,-70004.71,-68134.32,31561
-92986.46,-103970,-40965.8,-126227.2,-40976.96,-53763.11,-70002.14,-68131.65,31565
-93026.46,-104053.2,-41054.35,-126214,-41093.88,-53752.29,-70046.96,-68162.12,31569
-93017.93,-104026,-41047.67,-126204.2,-41062.31,-53743.66,-70055.11,-68168.98,31573
-92998.71,-103955.7,-40974.77,-126233,-40966.09,-53768.98,-70023.36,-68151.29,31577
-93004.05,-103977.3,-40972.29,-126244.2,-40975.1,-53778.66,-70006,-68140.18,31581
-93043.39,-104067.2,-41063.65,-126233.8,-41091.97,-53772.74,-70052.78,-68172.18,31585
-93034.95,-104049.4,-41076.09,-126209.4,-41093.26,-53754.29,-70069.85,-68193.73,31589
-92999.57,-103966.2,-40994.13,-126220.7,-40981.39,-53762.25,-70035.75,-68172.23,31593
-92999.85,-103958.8,-40965.13,-126231.4,-40964.04,-53764.83,-70013.06,-68146.81,31597
-93039.24,-104031.8,-41042.1,-126213,-41069.61,-53744.85,-70041.95,-68159.4,31601
-93047.68,-104041.1,-41080.34,-126191.7,-41105.13,-53725.78,-70067.46,-68176.28,31605
-93015.78,-103964.4,-41007.86,-126203.3,-40998.94,-53733.6,-70033.75,-68158.11,31609
-93011.06,-103937.1,-40958.98,-126226.2,-40954.45,-53744.9,-70005.57,-68127.12,31613
-93050.11,-104018.3,-41029.75,-126224,-41046.34,-53747.85,-70031.51,-68143,31617
-93068.76,-104064.4,-41090.69,-126201.6,-41121.82,-53733.64,-70067.37,-68177.66,31621
-93033.71,-103992.4,-41025.88,-126202.9,-41027.41,-53735.6,-70042.91,-68166.17,31625
-93023.7,-103948.8,-40962.04,-126228.6,-40956.69,-53758.92,-70019.88,-68143.9,31629
-93046.82,-104017.8,-41017.21,-126230.8,-41021.54,-53764.45,-70033.94,-68153.82,31633
-93064.23,-104067.7,-41083.39,-126208.4,-41103.04,-53739.51,-70062.03,-68176.8,31637
-93035.43,-104002.7,-41038.85,-126206.4,-41032.27,-53738.65,-70046.15,-68172.27,31641
-93005.1,-103932.7,-40953.4,-126219.1,-40941.67,-53748,-69999.52,-68134.75,31645
-93027.13,-103982.9,-40983.54,-126222,-40992.31,-53752.05,-70004.57,-68131.36,31649
-93045.3,-104046.6,-41057.93,-126196.1,-41098.79,-53731.21,-70049.11,-68160.16,31653
-93021.12,-104007.9,-41042.91,-126193.6,-41059.36,-53733.5,-70052.3,-68169.89,31657
-92997.38,-103937.6,-40967.57,-126224.9,-40966.85,-53762.49,-70030.41,-68158.02,31661
-93006.63,-103968,-40974.1,-126226.8,-40986.54,-53766.59,-70015.97,-68136.04,31665
-93026.8,-104036.6,-41047.1,-126194.4,-41087.87,-53729.35,-70033.51,-68136.18,31669
-93022.55,-104010.2,-41047.44,-126184.1,-41066.7,-53713.95,-70044.34,-68150.96,31673
-92996.14,-103928,-40965.75,-126205,-40960.99,-53728.26,-70013.92,-68129.5,31677
-93007.29,-103945.4,-40955.79,-126219.3,-40964.37,-53736.5,-69993.94,-68110.14,31681
-93035.71,-104029.6,-41034.37,-126202.6,-41072.28,-53721.48,-70025.88,-68130.65,31685
-93030.8,-104029.3,-41055.4,-126184.6,-41086.16,-53707.32,-70047.1,-68144.09,31689
-92997.66,-103942,-40974.1,-126197.2,-40969.9,-53715.48,-70010.05,-68119.73,31693
-92991.65,-103926.3,-40936.57,-126207.8,-40941.44,-53725.35,-69976.53,-68102.23,31697
-93029.47,-104009.1,-41015.97,-126198,-41047.53,-53721.29,-70005.38,-68123.4,31701
-93033.42,-104030,-41056.83,-126175.4,-41093.55,-53703.03,-70044.62,-68146.53,31705
-93003.1,-103955.3,-40989.02,-126181.2,-40982.35,-53710.37,-70019.54,-68129.55,31709
-92981.07,-103900.1,-40921.98,-126184.6,-40922.51,-53701.5,-69968.19,-68085.2,31713
-93002.91,-103965.6,-40979.92,-126169.7,-41002.95,-53684.67,-69972.96,-68081.58,31717
-93020.41,-104018,-41048.01,-126158.6,-41083.53,-53678.47,-70024.31,-68117.49,31721
-92999.95,-103963.9,-41007.24,-126182.9,-41004.47,-53706.13,-70028.55,-68135.61,31725
-92986.22,-103913.9,-40943.3,-126207.5,-40934.14,-53728.21,-69990.88,-68108.52,31729
-93008.15,-103971.4,-40988.21,-126202.3,-41002.23,-53723.44,-69995.37,-68100.08,31733
-93029.28,-104031.9,-41063.51,-126180.7,-41094.74,-53701.46,-70031.46,-68123.64,31737
-93005,-103975.5,-41027.31,-126178.1,-41023.17,-53698.45,-70024.98,-68124.45,31741
-92977.35,-103900.4,-40942.25,-126194.4,-40928.8,-53707.66,-69986.45,-68091.98,31745
-92992.75,-103940.9,-40961.22,-126191.9,-40976.58,-53706.08,-69991.31,-68081.91,31749
-93023.65,-104014,-41040.9,-126164.2,-41079.38,-53684.48,-70034.71,-68110.67,31753
-93005.53,-103979.5,-41024.02,-126154.1,-41037.33,-53675.47,-70033.28,-68122.97,31757
-92974.96,-103907.6,-40940.2,-126171.9,-40935.76,-53686.48,-69991.93,-68095.07,31761
-92991.32,-103936.8,-40947.01,-126180.7,-40951.54,-53689.77,-69971.86,-68074.43,31765
-93026.51,-104009.8,-41033.56,-126162.6,-41059.98,-53674.18,-70009.39,-68094.55,31769
-93010.58,-103985,-41032.99,-126146,-41046.96,-53659.16,-70023.4,-68107.19,31773
-92981.59,-103906.5,-40951.45,-126166.2,-40940.86,-53673.56,-69992.6,-68092.69,31777
-92986.93,-103906.8,-40931.14,-126176.4,-40930.56,-53679.14,-69968.57,-68066.04,31781
-93022.22,-103985.9,-41007.48,-126159.1,-41037.18,-53662.45,-69995.75,-68075.86,31785
-93024.6,-103998.2,-41030.84,-126139.1,-41059.5,-53644.86,-70008.19,-68091.93,31789
-92990.51,-103925.3,-40957.51,-126150.2,-40948.25,-53656.92,-69976.87,-68080.25,31793
-92981.26,-103900.2,-40916.97,-126162.5,-40908.92,-53666.79,-69945.44,-68051.06,31797
-93012.97,-103976.4,-40990.31,-126151.2,-41006.14,-53655.01,-69961.8,-68048.06,31801
-93010.39,-103993.8,-41022.93,-126116.5,-41050.49,-53619.87,-69970.19,-68051.4,31805
-92985.45,-103928.9,-40961.75,-126133,-40954.21,-53637.23,-69959.27,-68054.88,31809
-92963.76,-103880,-40900.05,-126150.7,-40893.99,-53650.1,-69935.95,-68033.94,31813
-92988.7,-103946,-40957.03,-126141.8,-40979.25,-53647.05,-69956.41,-68036.33,31817
-93002.81,-103987.8,-41014.25,-126115.6,-41056.4,-53624.35,-69989.02,-68055.26,31821
-92978.21,-103933.2,-40969.19,-126125.9,-40978.39,-53637.56,-69977.96,-68068.47,31825
-92959.23,-103876.3,-40895.52,-126145.3,-40892.61,-53650.39,-69933.76,-68035.95,31829
-92990.22,-103934.5,-40935.62,-126143.3,-40944.25,-53648.43,-69932,-68030.23,31833
-93014.92,-103998.3,-41012.77,-126122.2,-41041.91,-53626.02,-69975.82,-68066.61,31837
-92993.08,-103950.5,-40983.16,-126121,-40984.11,-53622.11,-69976.1,-68072.57,31841
-92966.62,-103887.3,-40906.29,-126143.5,-40888.46,-53643.33,-69942.68,-68048.25,31845
-92975.11,-103920.3,-40919.88,-126141.3,-40927.85,-53639.47,-69932.04,-68033.09,31849
-92995.75,-103985.9,-40992.7,-126112.2,-41023.88,-53609.24,-69956.98,-68038.09,31853
-92978.4,-103957.4,-40982.25,-126103.9,-40995.65,-53601.32,-69965.42,-68053.59,31857
-92949.45,-103888.5,-40902.53,-126124.3,-40891.84,-53621.44,-69936.76,-68044.15,31861
-92965,-103912.5,-40906.53,-126136.6,-40908.06,-53634.41,-69935.91,-68048.01,31865
-92995.13,-103986.1,-40988.02,-126114.7,-41015.25,-53614.01,-69960.89,-68057.88,31869
-92984.5,-103973.7,-40995.18,-126097.9,-41010.67,-53598.17,-69974,-68065.51,31873
-92950.07,-103888.1,-40910.58,-126110.9,-40893.18,-53605.9,-69937.19,-68044.72,31877
-92960.9,-103892.1,-40897.81,-126133.9,-40889.56,-53626.55,-69923.7,-68033.09,31881
-92992.61,-103977.6,-40975.77,-126122,-41000.56,-53617.01,-69949.73,-68043.58,31885
-93004.34,-103992.8,-41014.01,-126108.5,-41027.27,-53609.24,-69974.39,-68061.46,31889
-92963.66,-103900.7,-40932.66,-126114,-40912.01,-53613.72,-69938.15,-68044.05,31893
-92955.46,-103877.6,-40887.51,-126135.5,-40871.72,-53631.98,-69909.68,-68022.17,31897
-92988.93,-103954.3,-40956.55,-126128.4,-40966.18,-53631.93,-69944.44,-68034.99,31901
-93005.29,-103991.1,-41011.82,-126109.2,-41036.04,-53619.11,-69987.64,-68070.61,31905
-92980.3,-103923.4,-40954.07,-126121,-40947.06,-53629.07,-69966.52,-68059.55,31909
-92966.86,-103880,-40893.66,-126143,-40883.55,-53642.19,-69930.66,-68033.18,31913
-93002.33,-103957.3,-40954.41,-126144,-40966.95,-53642.9,-69946.11,-68043.81,31917
-93024.36,-104010.8,-41022.16,-126126.3,-41050.82,-53618.39,-69982.11,-68066.08,31921
-92998.61,-103949,-40978.34,-126136.9,-40970.9,-53620.35,-69969.86,-68061.79,31925
-92978.68,-103890.5,-40904.81,-126161.2,-40885.36,-53634.46,-69926.13,-68026.65,31929
-93004,-103944.2,-40943.96,-126164.4,-40943.87,-53642.52,-69935.19,-68032.94,31933
-93028.18,-104010.8,-41021.45,-126142.5,-41043.81,-53622.87,-69972.34,-68058.64,31937
-93000.62,-103962.6,-40991.69,-126132.7,-40985.07,-53619.11,-69959.94,-68065.03,31941
-92978.83,-103901.8,-40915.26,-126159.2,-40886.22,-53643.09,-69922.79,-68039.24,31945
-92995.13,-103937.5,-40930.85,-126167.3,-40917.93,-53648.91,-69924.03,-68033.94,31949
-93028.13,-104018.2,-41017.4,-126150.4,-41030.18,-53633.98,-69966.23,-68069.33,31953
-93014.3,-103995.1,-41016.25,-126141,-41010.48,-53627.64,-69978.15,-68089.31,31957
-92983.31,-103917.3,-40936.1,-126156.9,-40897.52,-53643.09,-69941.44,-68063.6,31961
-92996.76,-103936.2,-40929.61,-126169.8,-40898.66,-53652.87,-69921.93,-68037.14,31965
-93035.33,-104022.4,-41013.15,-126157.5,-41008.67,-53644.05,-69947.83,-68058.36,31969
-93034.19,-104018.7,-41033.23,-126143.2,-41020.11,-53635.75,-69969.38,-68085.3,31973
-93008.01,-103938.4,-40954.55,-126163.2,-40911.39,-53651.29,-69942.2,-68069.66,31977
-93023.74,-103936.7,-40932.14,-126188.4,-40897.19,-53673.9,-69936.1,-68062.98,31981
-93052.02,-104012.8,-40998.75,-126166.4,-40999.61,-53655.68,-69956.89,-68076.38,31985
-93054.17,-104032,-41037.04,-126144.8,-41043.72,-53634.75,-69982.97,-68090.16,31989
-93029.7,-103960.1,-40975.29,-126161.6,-40948.73,-53645.57,-69960.94,-68077.77,31993
